name,F,M,all,ratio,gender
Roscoe,5.0,21128.0,21133,8.34891654154,M
Jarrett,78.0,21021.0,21099,5.59656839035,M
Elnora,21063.0,27.0,21090,-6.65943635968,F
Ila,20949.0,60.0,21009,-5.85550162929,F
Gerry,6656.0,14283.0,20939,0.763551315362,M
Jaxon,131.0,20797.0,20928,5.06736670132,M
Maritza,20822.0,79.0,20901,-5.57431754657,F
Emery,5464.0,15415.0,20879,1.03715993907,M
Amie,20819.0,40.0,20859,-6.25474185616,F
Eden,18172.0,2653.0,20825,-1.92419087274,F
Leanna,20819.0,5.0,20824,-8.33418339784,F
Daniella,20811.0,6.0,20817,-8.15147750283,F
Christi,20786.0,22.0,20808,-6.85099250879,F
Lukas,19.0,20779.0,20798,6.99725916113,M
Dorian,4285.0,16372.0,20657,1.34045200658,M
Cade,73.0,20566.0,20639,5.64093506464,M
Joaquin,53.0,20566.0,20619,5.96110259224,M
Kailey,20495.0,10.0,20505,-7.62535113994,F
Elton,188.0,20316.0,20504,4.68272206909,M
Adan,68.0,20393.0,20461,5.70343927852,M
Erwin,49.0,20336.0,20385,6.02832769532,M
India,20345.0,27.0,20372,-6.62475359443,F
Kody,644.0,19727.0,20371,3.42204480864,M
Dorthy,20219.0,79.0,20298,-5.5449301829,F
Nola,20272.0,9.0,20281,-7.71977132522,F
Cecile,20064.0,191.0,20255,-4.65440901539,F
Norbert,6.0,20222.0,20228,8.12276693042,M
Elwood,53.0,20125.0,20178,5.93942618873,M
Neva,20087.0,6.0,20093,-8.11606864941,F
Nelda,20078.0,5.0,20083,-8.29794205482,F
Terrie,19705.0,338.0,20043,-4.06558179415,F
Abbie,19699.0,326.0,20025,-4.10142577065,F
Denis,770.0,19144.0,19914,3.21335411474,M
Phil,73.0,19840.0,19913,5.60499593969,M
Ruthie,19852.0,32.0,19884,-6.43032413391,F
Laila,19844.0,11.0,19855,-7.49776170062,F
London,14129.0,5686.0,19815,-0.910222409555,F
Cortney,16764.0,2979.0,19743,-1.72764605633,F
Dolly,19647.0,44.0,19691,-6.10149029997,F
Alva,8531.0,11155.0,19686,0.268181239958,M
Brianne,19564.0,32.0,19596,-6.41571051886,F
Paola,19394.0,148.0,19542,-4.8755067451,F
Tristen,3833.0,15617.0,19450,1.40471227811,M
Elvin,234.0,19132.0,19366,4.40379648944,M
Gay,17982.0,1381.0,19363,-2.56656338314,F
Susana,19308.0,52.0,19360,-5.9170310782,F
Makenna,19350.0,8.0,19358,-7.79100615678,F
Stevie,7447.0,11884.0,19331,0.467381690872,M
Imani,18437.0,871.0,19308,-3.05247281722,F
